DATE,DSPIC96
1/1/1959,2318.4
2/1/1959,2325.4
3/1/1959,2338.7
4/1/1959,2353.8
5/1/1959,2366.6
6/1/1959,2374.5
7/1/1959,2370.8
8/1/1959,2356.8
9/1/1959,2357.8
10/1/1959,2359.5
11/1/1959,2376.6
12/1/1959,2399.7
1/1/1960,2404.9
2/1/1960,2405.3
3/1/1960,2408.1
4/1/1960,2417.3
5/1/1960,2422.6
6/1/1960,2424.9
7/1/1960,2428.8
8/1/1960,2423.3
9/1/1960,2426.7
10/1/1960,2435.6
11/1/1960,2425.5
12/1/1960,2414.6
1/1/1961,2437.9
2/1/1961,2448.1
3/1/1961,2458.4
4/1/1961,2463.4
5/1/1961,2483.5
6/1/1961,2509.1
7/1/1961,2517.6
8/1/1961,2517.7
9/1/1961,2519.9
10/1/1961,2546.6
11/1/1961,2570.1
12/1/1961,2585.8
1/1/1962,2579.4
2/1/1962,2590.9
3/1/1962,2608.1
4/1/1962,2619.6
5/1/1962,2621.1
6/1/1962,2621.6
7/1/1962,2633
8/1/1962,2635.5
9/1/1962,2636.3
10/1/1962,2649.3
11/1/1962,2656.5
12/1/1962,2669
1/1/1963,2688.2
2/1/1963,2672.3
3/1/1963,2683.6
4/1/1963,2694.6
5/1/1963,2705
6/1/1963,2718.6
7/1/1963,2721.6
8/1/1963,2732.5
9/1/1963,2752.9
10/1/1963,2768.9
11/1/1963,2774.7
12/1/1963,2797.1
1/1/1964,2806.4
2/1/1964,2815.3
3/1/1964,2882.1
4/1/1964,2897.7
5/1/1964,2912.9
6/1/1964,2922.5
7/1/1964,2936.4
8/1/1964,2949.4
9/1/1964,2961.1
10/1/1964,2960.2
11/1/1964,2979.4
12/1/1964,3008
1/1/1965,3013.8
2/1/1965,3014.5
3/1/1965,3024.6
4/1/1965,3027.8
5/1/1965,3061.4
6/1/1965,3065.8
7/1/1965,3097.8
8/1/1965,3113.1
9/1/1965,3194.5
10/1/1965,3178.9
11/1/1965,3201.4
12/1/1965,3214.6
1/1/1966,3216.8
2/1/1966,3230.2
3/1/1966,3242.8
4/1/1966,3230.5
5/1/1966,3235.7
6/1/1966,3249.2
7/1/1966,3260.4
8/1/1966,3277.2
9/1/1966,3296.6
10/1/1966,3307.3
11/1/1966,3322.5
12/1/1966,3319.6
1/1/1967,3353.7
2/1/1967,3360.2
3/1/1967,3385.5
4/1/1967,3384.5
5/1/1967,3391.3
6/1/1967,3403.8
7/1/1967,3417.4
8/1/1967,3429.7
9/1/1967,3429.3
10/1/1967,3434.5
11/1/1967,3455.3
12/1/1967,3461.6
1/1/1968,3480.2
2/1/1968,3505.4
3/1/1968,3538.4
4/1/1968,3550.7
5/1/1968,3565.2
6/1/1968,3581.3
7/1/1968,3573.9
8/1/1968,3578.5
9/1/1968,3578.9
10/1/1968,3591.7
11/1/1968,3605.1
12/1/1968,3617.6
1/1/1969,3611
2/1/1969,3611.8
3/1/1969,3618.3
4/1/1969,3613
5/1/1969,3654.1
6/1/1969,3679.9
7/1/1969,3705.6
8/1/1969,3728.3
9/1/1969,3736.6
10/1/1969,3745.4
11/1/1969,3751.9
12/1/1969,3758.6
1/1/1970,3778.6
2/1/1970,3790.5
3/1/1970,3805
4/1/1970,3846
5/1/1970,3830.3
6/1/1970,3838.2
7/1/1970,3892.6
8/1/1970,3905.1
9/1/1970,3900.8
10/1/1970,3888.1
11/1/1970,3882.3
12/1/1970,3900
1/1/1971,3959.8
2/1/1971,3965.2
3/1/1971,3978.2
4/1/1971,3986.5
5/1/1971,4002.6
6/1/1971,4087.3
7/1/1971,4029.1
8/1/1971,4043.3
9/1/1971,4067.3
10/1/1971,4080.4
11/1/1971,4090
12/1/1971,4110.9
1/1/1972,4090.1
2/1/1972,4115.2
3/1/1972,4132.3
4/1/1972,4130.6
5/1/1972,4160.9
6/1/1972,4174.2
7/1/1972,4204.5
8/1/1972,4243.5
9/1/1972,4260
10/1/1972,4366.9
11/1/1972,4415.4
12/1/1972,4435.1
1/1/1973,4411.9
2/1/1973,4444.7
3/1/1973,4461
4/1/1973,4466.7
5/1/1973,4475
6/1/1973,4488.3
7/1/1973,4499
8/1/1973,4484.4
9/1/1973,4507.3
10/1/1973,4546.9
11/1/1973,4554.1
12/1/1973,4537.2
1/1/1974,4504.1
2/1/1974,4470.2
3/1/1974,4438.2
4/1/1974,4435.1
5/1/1974,4430.6
6/1/1974,4421.7
7/1/1974,4438.7
8/1/1974,4432.6
9/1/1974,4428
10/1/1974,4442.6
11/1/1974,4419
12/1/1974,4419.7
1/1/1975,4417.4
2/1/1975,4420.1
3/1/1975,4424.1
4/1/1975,4505.1
5/1/1975,4765.1
6/1/1975,4604.9
7/1/1975,4533.9
8/1/1975,4564.1
9/1/1975,4575.2
10/1/1975,4594.3
11/1/1975,4590.9
12/1/1975,4595.3
1/1/1976,4625.1
2/1/1976,4653.7
3/1/1976,4667.6
4/1/1976,4673.7
5/1/1976,4673.8
6/1/1976,4678.3
7/1/1976,4705.1
8/1/1976,4714.6
9/1/1976,4715.6
10/1/1976,4707.4
11/1/1976,4749.8
12/1/1976,4767.9
1/1/1977,4758.3
2/1/1977,4716.2
3/1/1977,4782.4
